table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,is_identity
auth,one_time_tokens,id,1,uuid,null,NO,null,NO
auth,one_time_tokens,user_id,2,uuid,null,NO,null,NO
auth,one_time_tokens,token_type,3,USER-DEFINED,null,NO,null,NO
auth,one_time_tokens,token_hash,4,text,null,NO,null,NO
auth,one_time_tokens,relates_to,5,text,null,NO,null,NO
auth,one_time_tokens,created_at,6,timestamp without time zone,null,NO,now(),NO
auth,one_time_tokens,updated_at,7,timestamp without time zone,null,NO,now(),NO
auth,refresh_tokens,instance_id,1,uuid,null,YES,null,NO
auth,refresh_tokens,id,2,bigint,null,NO,nextval('auth.refresh_tokens_id_seq'::regclass),NO
auth,refresh_tokens,token,3,character varying,255,YES,null,NO
auth,refresh_tokens,user_id,4,character varying,255,YES,null,NO
auth,refresh_tokens,revoked,5,boolean,null,YES,null,NO
auth,refresh_tokens,created_at,6,timestamp with time zone,null,YES,null,NO
auth,refresh_tokens,updated_at,7,timestamp with time zone,null,YES,null,NO
auth,refresh_tokens,parent,8,character varying,255,YES,null,NO
auth,refresh_tokens,session_id,9,uuid,null,YES,null,NO
auth,saml_providers,id,1,uuid,null,NO,null,NO
auth,saml_providers,sso_provider_id,2,uuid,null,NO,null,NO
auth,saml_providers,entity_id,3,text,null,NO,null,NO
auth,saml_providers,metadata_xml,4,text,null,NO,null,NO
auth,saml_providers,metadata_url,5,text,null,YES,null,NO
auth,saml_providers,attribute_mapping,6,jsonb,null,YES,null,NO
auth,saml_providers,created_at,7,timestamp with time zone,null,YES,null,NO
auth,saml_providers,updated_at,8,timestamp with time zone,null,YES,null,NO
auth,saml_providers,name_id_format,9,text,null,YES,null,NO
auth,saml_relay_states,id,1,uuid,null,NO,null,NO
auth,saml_relay_states,sso_provider_id,2,uuid,null,NO,null,NO
auth,saml_relay_states,request_id,3,text,null,NO,null,NO
auth,saml_relay_states,for_email,4,text,null,YES,null,NO
auth,saml_relay_states,redirect_to,5,text,null,YES,null,NO
auth,saml_relay_states,created_at,7,timestamp with time zone,null,YES,null,NO
auth,saml_relay_states,updated_at,8,timestamp with time zone,null,YES,null,NO
auth,saml_relay_states,flow_state_id,9,uuid,null,YES,null,NO
auth,schema_migrations,version,1,character varying,255,NO,null,NO
auth,sessions,id,1,uuid,null,NO,null,NO
auth,sessions,user_id,2,uuid,null,NO,null,NO
auth,sessions,created_at,3,timestamp with time zone,null,YES,null,NO
auth,sessions,updated_at,4,timestamp with time zone,null,YES,null,NO
auth,sessions,factor_id,5,uuid,null,YES,null,NO
auth,sessions,aal,6,USER-DEFINED,null,YES,null,NO
auth,sessions,not_after,7,timestamp with time zone,null,YES,null,NO
auth,sessions,refreshed_at,8,timestamp without time zone,null,YES,null,NO
auth,sessions,user_agent,9,text,null,YES,null,NO
auth,sessions,ip,10,inet,null,YES,null,NO
auth,sessions,tag,11,text,null,YES,null,NO
auth,sso_domains,id,1,uuid,null,NO,null,NO
auth,sso_domains,sso_provider_id,2,uuid,null,NO,null,NO
auth,sso_domains,domain,3,text,null,NO,null,NO
auth,sso_domains,created_at,4,timestamp with time zone,null,YES,null,NO
auth,sso_domains,updated_at,5,timestamp with time zone,null,YES,null,NO
auth,sso_providers,id,1,uuid,null,NO,null,NO
auth,sso_providers,resource_id,2,text,null,YES,null,NO
auth,sso_providers,created_at,3,timestamp with time zone,null,YES,null,NO
auth,sso_providers,updated_at,4,timestamp with time zone,null,YES,null,NO
auth,sso_providers,disabled,5,boolean,null,YES,null,NO
auth,users,instance_id,1,uuid,null,YES,null,NO
auth,users,id,2,uuid,null,NO,null,NO
auth,users,aud,3,character varying,255,YES,null,NO
auth,users,role,4,character varying,255,YES,null,NO
auth,users,email,5,character varying,255,YES,null,NO
auth,users,encrypted_password,6,character varying,255,YES,null,NO
auth,users,email_confirmed_at,7,timestamp with time zone,null,YES,null,NO
auth,users,invited_at,8,timestamp with time zone,null,YES,null,NO
auth,users,confirmation_token,9,character varying,255,YES,null,NO
auth,users,confirmation_sent_at,10,timestamp with time zone,null,YES,null,NO
auth,users,recovery_token,11,character varying,255,YES,null,NO
auth,users,recovery_sent_at,12,timestamp with time zone,null,YES,null,NO
auth,users,email_change_token_new,13,character varying,255,YES,null,NO
auth,users,email_change,14,character varying,255,YES,null,NO
auth,users,email_change_sent_at,15,timestamp with time zone,null,YES,null,NO
auth,users,last_sign_in_at,16,timestamp with time zone,null,YES,null,NO
auth,users,raw_app_meta_data,17,jsonb,null,YES,null,NO
auth,users,raw_user_meta_data,18,jsonb,null,YES,null,NO
auth,users,is_super_admin,19,boolean,null,YES,null,NO
auth,users,created_at,20,timestamp with time zone,null,YES,null,NO
auth,users,updated_at,21,timestamp with time zone,null,YES,null,NO
auth,users,phone,22,text,null,YES,NULL::character varying,NO
auth,users,phone_confirmed_at,23,timestamp with time zone,null,YES,null,NO
auth,users,phone_change,24,text,null,YES,''::character varying,NO
auth,users,phone_change_token,25,character varying,255,YES,''::character varying,NO
auth,users,phone_change_sent_at,26,timestamp with time zone,null,YES,null,NO
auth,users,confirmed_at,27,timestamp with time zone,null,YES,null,NO
auth,users,email_change_token_current,28,character varying,255,YES,''::character varying,NO
auth,users,email_change_confirm_status,29,smallint,null,YES,0,NO
auth,users,banned_until,30,timestamp with time zone,null,YES,null,NO
auth,users,reauthentication_token,31,character varying,255,YES,''::character varying,NO
auth,users,reauthentication_sent_at,32,timestamp with time zone,null,YES,null,NO
auth,users,is_sso_user,33,boolean,null,NO,false,NO
auth,users,deleted_at,34,timestamp with time zone,null,YES,null,NO
auth,users,is_anonymous,35,boolean,null,NO,false,NO
extensions,pg_stat_statements,userid,1,oid,null,YES,null,NO
extensions,pg_stat_statements,dbid,2,oid,null,YES,null,NO
extensions,pg_stat_statements,toplevel,3,boolean,null,YES,null,NO
extensions,pg_stat_statements,queryid,4,bigint,null,YES,null,NO
extensions,pg_stat_statements,query,5,text,null,YES,null,NO
extensions,pg_stat_statements,plans,6,bigint,null,YES,null,NO
extensions,pg_stat_statements,total_plan_time,7,double precision,null,YES,null,NO
extensions,pg_stat_statements,min_plan_time,8,double precision,null,YES,null,NO
extensions,pg_stat_statements,max_plan_time,9,double precision,null,YES,null,NO
extensions,pg_stat_statements,mean_plan_time,10,double precision,null,YES,null,NO
extensions,pg_stat_statements,stddev_plan_time,11,double precision,null,YES,null,NO
extensions,pg_stat_statements,calls,12,bigint,null,YES,null,NO
extensions,pg_stat_statements,total_exec_time,13,double precision,null,YES,null,NO
extensions,pg_stat_statements,min_exec_time,14,double precision,null,YES,null,NO
extensions,pg_stat_statements,max_exec_time,15,double precision,null,YES,null,NO
extensions,pg_stat_statements,mean_exec_time,16,double precision,null,YES,null,NO
extensions,pg_stat_statements,stddev_exec_time,17,double precision,null,YES,null,NO
extensions,pg_stat_statements,rows,18,bigint,null,YES,null,NO
extensions,pg_stat_statements,shared_blks_hit,19,bigint,null,YES,null,NO
extensions,pg_stat_statements,shared_blks_read,20,bigint,null,YES,null,NO
extensions,pg_stat_statements,shared_blks_dirtied,21,bigint,null,YES,null,NO
extensions,pg_stat_statements,shared_blks_written,22,bigint,null,YES,null,NO
extensions,pg_stat_statements,local_blks_hit,23,bigint,null,YES,null,NO
extensions,pg_stat_statements,local_blks_read,24,bigint,null,YES,null,NO
extensions,pg_stat_statements,local_blks_dirtied,25,bigint,null,YES,null,NO
extensions,pg_stat_statements,local_blks_written,26,bigint,null,YES,null,NO
extensions,pg_stat_statements,temp_blks_read,27,bigint,null,YES,null,NO
extensions,pg_stat_statements,temp_blks_written,28,bigint,null,YES,null,NO
extensions,pg_stat_statements,shared_blk_read_time,29,double precision,null,YES,null,NO
extensions,pg_stat_statements,shared_blk_write_time,30,double precision,null,YES,null,NO
extensions,pg_stat_statements,local_blk_read_time,31,double precision,null,YES,null,NO
extensions,pg_stat_statements,local_blk_write_time,32,double precision,null,YES,null,NO
extensions,pg_stat_statements,temp_blk_read_time,33,double precision,null,YES,null,NO
extensions,pg_stat_statements,temp_blk_write_time,34,double precision,null,YES,null,NO
extensions,pg_stat_statements,wal_records,35,bigint,null,YES,null,NO
extensions,pg_stat_statements,wal_fpi,36,bigint,null,YES,null,NO
extensions,pg_stat_statements,wal_bytes,37,numeric,null,YES,null,NO
extensions,pg_stat_statements,jit_functions,38,bigint,null,YES,null,NO
extensions,pg_stat_statements,jit_generation_time,39,double precision,null,YES,null,NO
extensions,pg_stat_statements,jit_inlining_count,40,bigint,null,YES,null,NO
extensions,pg_stat_statements,jit_inlining_time,41,double precision,null,YES,null,NO
extensions,pg_stat_statements,jit_optimization_count,42,bigint,null,YES,null,NO
extensions,pg_stat_statements,jit_optimization_time,43,double precision,null,YES,null,NO
extensions,pg_stat_statements,jit_emission_count,44,bigint,null,YES,null,NO
extensions,pg_stat_statements,jit_emission_time,45,double precision,null,YES,null,NO
extensions,pg_stat_statements,jit_deform_count,46,bigint,null,YES,null,NO
extensions,pg_stat_statements,jit_deform_time,47,double precision,null,YES,null,NO
extensions,pg_stat_statements,stats_since,48,timestamp with time zone,null,YES,null,NO
extensions,pg_stat_statements,minmax_stats_since,49,timestamp with time zone,null,YES,null,NO
extensions,pg_stat_statements_info,dealloc,1,bigint,null,YES,null,NO
extensions,pg_stat_statements_info,stats_reset,2,timestamp with time zone,null,YES,null,NO
information_schema,_pg_foreign_data_wrappers,oid,1,oid,null,YES,null,NO
information_schema,_pg_foreign_data_wrappers,fdwowner,2,oid,null,YES,null,NO
information_schema,_pg_foreign_data_wrappers,fdwoptions,3,ARRAY,null,YES,null,NO
information_schema,_pg_foreign_data_wrappers,foreign_data_wrapper_catalog,4,name,null,YES,null,NO
information_schema,_pg_foreign_data_wrappers,foreign_data_wrapper_name,5,name,null,YES,null,NO
information_schema,_pg_foreign_data_wrappers,authorization_identifier,6,name,null,YES,null,NO
information_schema,_pg_foreign_data_wrappers,foreign_data_wrapper_language,7,character varying,null,YES,null,NO
information_schema,_pg_foreign_servers,oid,1,oid,null,YES,null,NO
information_schema,_pg_foreign_servers,srvoptions,2,ARRAY,null,YES,null,NO
information_schema,_pg_foreign_servers,foreign_server_catalog,3,name,null,YES,null,NO
information_schema,_pg_foreign_servers,foreign_server_name,4,name,null,YES,null,NO
information_schema,_pg_foreign_servers,foreign_data_wrapper_catalog,5,name,null,YES,null,NO
information_schema,_pg_foreign_servers,foreign_data_wrapper_name,6,name,null,YES,null,NO
information_schema,_pg_foreign_servers,foreign_server_type,7,character varying,null,YES,null,NO
information_schema,_pg_foreign_servers,foreign_server_version,8,character varying,null,YES,null,NO
information_schema,_pg_foreign_servers,authorization_identifier,9,name,null,YES,null,NO
information_schema,_pg_foreign_table_columns,nspname,1,name,null,YES,null,NO
information_schema,_pg_foreign_table_columns,relname,2,name,null,YES,null,NO
information_schema,_pg_foreign_table_columns,attname,3,name,null,YES,null,NO
information_schema,_pg_foreign_table_columns,attfdwoptions,4,ARRAY,null,YES,null,NO
information_schema,_pg_foreign_tables,foreign_table_catalog,1,name,null,YES,null,NO
information_schema,_pg_foreign_tables,foreign_table_schema,2,name,null,YES,null,NO
information_schema,_pg_foreign_tables,foreign_table_name,3,name,null,YES,null,NO
information_schema,_pg_foreign_tables,ftoptions,4,ARRAY,null,YES,null,NO
information_schema,_pg_foreign_tables,foreign_server_catalog,5,name,null,YES,null,NO
information_schema,_pg_foreign_tables,foreign_server_name,6,name,null,YES,null,NO
information_schema,_pg_foreign_tables,authorization_identifier,7,name,null,YES,null,NO
information_schema,_pg_user_mappings,oid,1,oid,null,YES,null,NO
information_schema,_pg_user_mappings,umoptions,2,ARRAY,null,YES,null,NO
information_schema,_pg_user_mappings,umuser,3,oid,null,YES,null,NO
information_schema,_pg_user_mappings,authorization_identifier,4,name,null,YES,null,NO
information_schema,_pg_user_mappings,foreign_server_catalog,5,name,null,YES,null,NO
information_schema,_pg_user_mappings,foreign_server_name,6,name,null,YES,null,NO
information_schema,_pg_user_mappings,srvowner,7,name,null,YES,null,NO
information_schema,administrable_role_authorizations,grantee,1,name,null,YES,null,NO
information_schema,administrable_role_authorizations,role_name,2,name,null,YES,null,NO
information_schema,administrable_role_authorizations,is_grantable,3,character varying,3,YES,null,NO
information_schema,applicable_roles,grantee,1,name,null,YES,null,NO
information_schema,applicable_roles,role_name,2,name,null,YES,null,NO
information_schema,applicable_roles,is_grantable,3,character varying,3,YES,null,NO
information_schema,attributes,udt_catalog,1,name,null,YES,null,NO
information_schema,attributes,udt_schema,2,name,null,YES,null,NO
information_schema,attributes,udt_name,3,name,null,YES,null,NO
information_schema,attributes,attribute_name,4,name,null,YES,null,NO
information_schema,attributes,ordinal_position,5,integer,null,YES,null,NO
information_schema,attributes,attribute_default,6,character varying,null,YES,null,NO
information_schema,attributes,is_nullable,7,character varying,3,YES,null,NO
information_schema,attributes,data_type,8,character varying,null,YES,null,NO
information_schema,attributes,character_maximum_length,9,integer,null,YES,null,NO
information_schema,attributes,character_octet_length,10,integer,null,YES,null,NO
information_schema,attributes,character_set_catalog,11,name,null,YES,null,NO
information_schema,attributes,character_set_schema,12,name,null,YES,null,NO
information_schema,attributes,character_set_name,13,name,null,YES,null,NO
information_schema,attributes,collation_catalog,14,name,null,YES,null,NO
information_schema,attributes,collation_schema,15,name,null,YES,null,NO
information_schema,attributes,collation_name,16,name,null,YES,null,NO
information_schema,attributes,numeric_precision,17,integer,null,YES,null,NO
information_schema,attributes,numeric_precision_radix,18,integer,null,YES,null,NO
information_schema,attributes,numeric_scale,19,integer,null,YES,null,NO
information_schema,attributes,datetime_precision,20,integer,null,YES,null,NO
information_schema,attributes,interval_type,21,character varying,null,YES,null,NO
information_schema,attributes,interval_precision,22,integer,null,YES,null,NO
information_schema,attributes,attribute_udt_catalog,23,name,null,YES,null,NO
information_schema,attributes,attribute_udt_schema,24,name,null,YES,null,NO
information_schema,attributes,attribute_udt_name,25,name,null,YES,null,NO
information_schema,attributes,scope_catalog,26,name,null,YES,null,NO
information_schema,attributes,scope_schema,27,name,null,YES,null,NO
information_schema,attributes,scope_name,28,name,null,YES,null,NO
information_schema,attributes,maximum_cardinality,29,integer,null,YES,null,NO
information_schema,attributes,dtd_identifier,30,name,null,YES,null,NO
information_schema,attributes,is_derived_reference_attribute,31,character varying,3,YES,null,NO
information_schema,character_sets,character_set_catalog,1,name,null,YES,null,NO
information_schema,character_sets,character_set_schema,2,name,null,YES,null,NO
information_schema,character_sets,character_set_name,3,name,null,YES,null,NO
information_schema,character_sets,character_repertoire,4,name,null,YES,null,NO
information_schema,character_sets,form_of_use,5,name,null,YES,null,NO
information_schema,character_sets,default_collate_catalog,6,name,null,YES,null,NO
information_schema,character_sets,default_collate_schema,7,name,null,YES,null,NO
information_schema,character_sets,default_collate_name,8,name,null,YES,null,NO
information_schema,check_constraint_routine_usage,constraint_catalog,1,name,null,YES,null,NO
information_schema,check_constraint_routine_usage,constraint_schema,2,name,null,YES,null,NO
information_schema,check_constraint_routine_usage,constraint_name,3,name,null,YES,null,NO
information_schema,check_constraint_routine_usage,specific_catalog,4,name,null,YES,null,NO
information_schema,check_constraint_routine_usage,specific_schema,5,name,null,YES,null,NO
information_schema,check_constraint_routine_usage,specific_name,6,name,null,YES,null,NO
information_schema,check_constraints,constraint_catalog,1,name,null,YES,null,NO
information_schema,check_constraints,constraint_schema,2,name,null,YES,null,NO
information_schema,check_constraints,constraint_name,3,name,null,YES,null,NO
information_schema,check_constraints,check_clause,4,character varying,null,YES,null,NO
information_schema,collation_character_set_applicability,collation_catalog,1,name,null,YES,null,NO
information_schema,collation_character_set_applicability,collation_schema,2,name,null,YES,null,NO
information_schema,collation_character_set_applicability,collation_name,3,name,null,YES,null,NO
information_schema,collation_character_set_applicability,character_set_catalog,4,name,null,YES,null,NO
information_schema,collation_character_set_applicability,character_set_schema,5,name,null,YES,null,NO
information_schema,collation_character_set_applicability,character_set_name,6,name,null,YES,null,NO
information_schema,collations,collation_catalog,1,name,null,YES,null,NO
information_schema,collations,collation_schema,2,name,null,YES,null,NO
information_schema,collations,collation_name,3,name,null,YES,null,NO
information_schema,collations,pad_attribute,4,character varying,null,YES,null,NO
information_schema,column_column_usage,table_catalog,1,name,null,YES,null,NO
information_schema,column_column_usage,table_schema,2,name,null,YES,null,NO
information_schema,column_column_usage,table_name,3,name,null,YES,null,NO
information_schema,column_column_usage,column_name,4,name,null,YES,null,NO
information_schema,column_column_usage,dependent_column,5,name,null,YES,null,NO
information_schema,column_domain_usage,domain_catalog,1,name,null,YES,null,NO
information_schema,column_domain_usage,domain_schema,2,name,null,YES,null,NO
information_schema,column_domain_usage,domain_name,3,name,null,YES,null,NO
information_schema,column_domain_usage,table_catalog,4,name,null,YES,null,NO
information_schema,column_domain_usage,table_schema,5,name,null,YES,null,NO
information_schema,column_domain_usage,table_name,6,name,null,YES,null,NO
information_schema,column_domain_usage,column_name,7,name,null,YES,null,NO
information_schema,column_options,table_catalog,1,name,null,YES,null,NO
information_schema,column_options,table_schema,2,name,null,YES,null,NO
information_schema,column_options,table_name,3,name,null,YES,null,NO
information_schema,column_options,column_name,4,name,null,YES,null,NO
information_schema,column_options,option_name,5,name,null,YES,null,NO
information_schema,column_options,option_value,6,character varying,null,YES,null,NO
information_schema,column_privileges,grantor,1,name,null,YES,null,NO
information_schema,column_privileges,grantee,2,name,null,YES,null,NO
information_schema,column_privileges,table_catalog,3,name,null,YES,null,NO
information_schema,column_privileges,table_schema,4,name,null,YES,null,NO
information_schema,column_privileges,table_name,5,name,null,YES,null,NO
information_schema,column_privileges,column_name,6,name,null,YES,null,NO
information_schema,column_privileges,privilege_type,7,character varying,null,YES,null,NO
information_schema,column_privileges,is_grantable,8,character varying,3,YES,null,NO
information_schema,column_udt_usage,udt_catalog,1,name,null,YES,null,NO
information_schema,column_udt_usage,udt_schema,2,name,null,YES,null,NO
information_schema,column_udt_usage,udt_name,3,name,null,YES,null,NO
information_schema,column_udt_usage,table_catalog,4,name,null,YES,null,NO
information_schema,column_udt_usage,table_schema,5,name,null,YES,null,NO
information_schema,column_udt_usage,table_name,6,name,null,YES,null,NO
information_schema,column_udt_usage,column_name,7,name,null,YES,null,NO
information_schema,columns,table_catalog,1,name,null,YES,null,NO
information_schema,columns,table_schema,2,name,null,YES,null,NO
information_schema,columns,table_name,3,name,null,YES,null,NO
information_schema,columns,column_name,4,name,null,YES,null,NO
information_schema,columns,ordinal_position,5,integer,null,YES,null,NO
information_schema,columns,column_default,6,character varying,null,YES,null,NO
information_schema,columns,is_nullable,7,character varying,3,YES,null,NO
information_schema,columns,data_type,8,character varying,null,YES,null,NO
information_schema,columns,character_maximum_length,9,integer,null,YES,null,NO
information_schema,columns,character_octet_length,10,integer,null,YES,null,NO
information_schema,columns,numeric_precision,11,integer,null,YES,null,NO
information_schema,columns,numeric_precision_radix,12,integer,null,YES,null,NO
information_schema,columns,numeric_scale,13,integer,null,YES,null,NO
information_schema,columns,datetime_precision,14,integer,null,YES,null,NO
information_schema,columns,interval_type,15,character varying,null,YES,null,NO
information_schema,columns,interval_precision,16,integer,null,YES,null,NO
information_schema,columns,character_set_catalog,17,name,null,YES,null,NO
information_schema,columns,character_set_schema,18,name,null,YES,null,NO
information_schema,columns,character_set_name,19,name,null,YES,null,NO
information_schema,columns,collation_catalog,20,name,null,YES,null,NO
information_schema,columns,collation_schema,21,name,null,YES,null,NO
information_schema,columns,collation_name,22,name,null,YES,null,NO
information_schema,columns,domain_catalog,23,name,null,YES,null,NO
information_schema,columns,domain_schema,24,name,null,YES,null,NO
information_schema,columns,domain_name,25,name,null,YES,null,NO
information_schema,columns,udt_catalog,26,name,null,YES,null,NO
information_schema,columns,udt_schema,27,name,null,YES,null,NO
information_schema,columns,udt_name,28,name,null,YES,null,NO
information_schema,columns,scope_catalog,29,name,null,YES,null,NO
information_schema,columns,scope_schema,30,name,null,YES,null,NO
information_schema,columns,scope_name,31,name,null,YES,null,NO
information_schema,columns,maximum_cardinality,32,integer,null,YES,null,NO
information_schema,columns,dtd_identifier,33,name,null,YES,null,NO
information_schema,columns,is_self_referencing,34,character varying,3,YES,null,NO
information_schema,columns,is_identity,35,character varying,3,YES,null,NO
information_schema,columns,identity_generation,36,character varying,null,YES,null,NO
information_schema,columns,identity_start,37,character varying,null,YES,null,NO
information_schema,columns,identity_increment,38,character varying,null,YES,null,NO
information_schema,columns,identity_maximum,39,character varying,null,YES,null,NO
information_schema,columns,identity_minimum,40,character varying,null,YES,null,NO
information_schema,columns,identity_cycle,41,character varying,3,YES,null,NO
information_schema,columns,is_generated,42,character varying,null,YES,null,NO
information_schema,columns,generation_expression,43,character varying,null,YES,null,NO
information_schema,columns,is_updatable,44,character varying,3,YES,null,NO
information_schema,constraint_column_usage,table_catalog,1,name,null,YES,null,NO
information_schema,constraint_column_usage,table_schema,2,name,null,YES,null,NO
information_schema,constraint_column_usage,table_name,3,name,null,YES,null,NO
information_schema,constraint_column_usage,column_name,4,name,null,YES,null,NO
information_schema,constraint_column_usage,constraint_catalog,5,name,null,YES,null,NO
information_schema,constraint_column_usage,constraint_schema,6,name,null,YES,null,NO
information_schema,constraint_column_usage,constraint_name,7,name,null,YES,null,NO
information_schema,constraint_table_usage,table_catalog,1,name,null,YES,null,NO
information_schema,constraint_table_usage,table_schema,2,name,null,YES,null,NO
information_schema,constraint_table_usage,table_name,3,name,null,YES,null,NO
information_schema,constraint_table_usage,constraint_catalog,4,name,null,YES,null,NO
information_schema,constraint_table_usage,constraint_schema,5,name,null,YES,null,NO
information_schema,constraint_table_usage,constraint_name,6,name,null,YES,null,NO
information_schema,data_type_privileges,object_catalog,1,name,null,YES,null,NO
information_schema,data_type_privileges,object_schema,2,name,null,YES,null,NO
information_schema,data_type_privileges,object_name,3,name,null,YES,null,NO
information_schema,data_type_privileges,object_type,4,character varying,null,YES,null,NO
information_schema,data_type_privileges,dtd_identifier,5,name,null,YES,null,NO
information_schema,domain_constraints,constraint_catalog,1,name,null,YES,null,NO
information_schema,domain_constraints,constraint_schema,2,name,null,YES,null,NO
information_schema,domain_constraints,constraint_name,3,name,null,YES,null,NO
information_schema,domain_constraints,domain_catalog,4,name,null,YES,null,NO
information_schema,domain_constraints,domain_schema,5,name,null,YES,null,NO
information_schema,domain_constraints,domain_name,6,name,null,YES,null,NO
information_schema,domain_constraints,is_deferrable,7,character varying,3,YES,null,NO
information_schema,domain_constraints,initially_deferred,8,character varying,3,YES,null,NO
information_schema,domain_udt_usage,udt_catalog,1,name,null,YES,null,NO
information_schema,domain_udt_usage,udt_schema,2,name,null,YES,null,NO
information_schema,domain_udt_usage,udt_name,3,name,null,YES,null,NO
information_schema,domain_udt_usage,domain_catalog,4,name,null,YES,null,NO
information_schema,domain_udt_usage,domain_schema,5,name,null,YES,null,NO
information_schema,domain_udt_usage,domain_name,6,name,null,YES,null,NO
information_schema,domains,domain_catalog,1,name,null,YES,null,NO
information_schema,domains,domain_schema,2,name,null,YES,null,NO
information_schema,domains,domain_name,3,name,null,YES,null,NO
information_schema,domains,data_type,4,character varying,null,YES,null,NO
information_schema,domains,character_maximum_length,5,integer,null,YES,null,NO
information_schema,domains,character_octet_length,6,integer,null,YES,null,NO
information_schema,domains,character_set_catalog,7,name,null,YES,null,NO
information_schema,domains,character_set_schema,8,name,null,YES,null,NO
information_schema,domains,character_set_name,9,name,null,YES,null,NO
information_schema,domains,collation_catalog,10,name,null,YES,null,NO
information_schema,domains,collation_schema,11,name,null,YES,null,NO
